ID,item_cnt_month
0,0.7248414
1,0.34530458
2,1.1986463
3,0.48247507
4,3.6344314
5,0.7312987
6,0.9811086
7,0.17946854
8,0.94128287
9,0.8508729
10,2.50119
11,0.40062004
12,0.14859703
13,0.49674097
14,1.5160387
15,2.1337466
16,0.07915415
17,0.17954493
18,1.3518841
19,0.25362468
20,0.5126921
21,0.38024688
22,2.3145812
23,0.5635265
24,1.3274765
25,0.73824334
26,0.3257301
27,0.48872757
28,1.0557792
29,3.1207302
30,0.78180045
31,0.57229936
32,0.81580406
33,1.0488843
34,0.07170079
35,0.08325835
36,0.084413745
37,0.90119344
38,0.23245567
39,0.16471133
40,0.70232636
41,1.717037
42,3.8422787
43,3.6490397
44,1.0729427
45,0.16643241
46,0.9983974
47,0.45356068
48,0.61462796
49,0.8021163
50,1.1058304
51,0.5239871
52,0.45189762
53,0.45532468
54,4.665553
55,2.9822016
56,2.1828992
57,1.8940233
58,4.4714365
59,3.0494504
60,4.181648
61,0.31129572
62,0.20849797
63,0.37307656
64,2.6213615
65,0.37842426
66,0.5624347
67,0.081729524
68,0.57229435
69,0.08553599
70,0.37842426
71,1.6585989
72,0.23751467
73,1.1711229
74,5.1394033
75,4.8354354
76,0.2848454
77,2.6213615
78,0.5920061
79,0.8451574
80,1.2405328
81,2.432284
82,1.0063303
83,0.35296097
84,0.65537715
85,0.8895493
86,0.5761623
87,0.04684611
88,2.4403763
89,0.8679346
90,0.7228238
91,0.6332346
92,1.6097512
93,0.11255028
94,0.61859506
95,0.022375317
96,0.08349165
97,0.42058277
98,0.62004685
99,1.2567567
100,1.0541091
101,1.3810493
102,0.32441625
103,1.1723136
104,0.15208384
105,0.7229371
106,0.5477585
107,0.79050875
108,0.16010424
109,0.34359798
110,0.34118876
111,0.5661335
112,0.59965825
113,0.7872438
114,0.16375242
115,0.40153775
116,0.5722392
117,0.11332261
118,8.038894
119,0.17023064
120,0.11833232
121,0.14532948
122,0.3640883
123,0.4357302
124,0.49370566
125,0.7842643
126,0.5749146
127,0.13838586
128,0.39008507
129,0.24947424
130,0.48975468
131,0.047648415
132,1.0659626
133,3.4456894
134,0.10298126
135,1.8520845
136,1.3087009
137,1.4651198
138,1.3017037
139,0.3346641
140,0.26841554
141,0.3274632
142,0.131959
143,0.42898837
144,0.17691505
145,0.17691505
146,0.17691505
147,0.101240814
148,0.34897527
149,0.12179711
150,0.08124901
151,0.5972198
152,4.183462
153,0.26089555
154,0.070768334
155,0.18499343
156,0.23388459
157,0.30289808
158,0.106629334
159,0.21527301
160,1.0277846
161,0.2061812
162,0.6808176
163,0.81036246
164,0.47592893
165,0.10824856
166,0.36925584
167,0.05043668
168,0.350112
169,0.14521779
170,0.20371503
171,0.54787594
172,0.11223412
173,2.4984326
174,1.4630541
175,3.119254
176,0.9878291
177,0.44054565
178,0.20491077
179,0.15307797
180,1.4794838
181,0.15559258
182,0.27021608
183,0.19006622
184,0.12167536
185,0.44168243
186,0.14288744
187,0.14233708
188,0.34897527
189,0.34897527
190,0.23818395
191,0.6366628
192,0.7046777
193,0.17663136
194,0.21788795
195,0.13873126
196,0.4637713
197,3.2165918
198,1.2844247
199,3.632531
200,0.07843725
201,3.632531
202,0.15276472
203,1.2046838
204,0.19698955
205,0.62082016
206,0.48732045
207,0.07212433
208,1.3158076
209,0.3839973
210,0.16721514
211,0.10880586
212,0.05215252
213,0.28128487
214,0.09078995
215,0.1631187
216,0.28542662
217,0.06160357
218,1.410811
219,0.4523506
220,0.3059327
221,2.4695773
222,3.8093007
223,0.747427
224,2.0534801
225,0.35838345
226,0.58150315
227,0.15041363
228,0.1346653
229,0.2881799
230,5.0448627
231,0.6362777
232,0.048402358
233,0.1647703
234,0.06864095
235,0.09298447
236,0.5551278
237,0.7174977
238,0.27670777
239,0.22645801
240,0.2859519
241,0.08788486
242,0.19371119
243,3.9547675
244,0.34220204
245,0.24951082
246,1.4974614
247,0.6549057
248,0.5794738
249,0.08944929
250,0.7062118
251,0.27584422
252,0.40131354
253,1.122713
254,0.42731234
255,4.0844617
256,0.5459124
257,0.27269098
258,0.3951319
259,0.14417422
260,0.06827791
261,0.12300454
262,0.22053848
263,0.030995496
264,0.114919566
265,0.58046794
266,0.07443409
267,0.16670804
268,0.42529526
269,0.24570708
270,1.1039925
271,0.16462885
272,0.13866627
273,1.1882737
274,14.337225
275,0.15080497
276,0.16666669
277,0.9285709
278,0.32737455
279,0.54912835
280,0.24790484
281,0.16751976
282,0.121740796
283,0.4815431
284,0.40071842
285,0.23101251
286,0.106942914
287,0.7107859
288,0.18481697
289,0.23286156
290,0.081307665
291,0.16633472
292,0.4182246
293,0.1406138
294,0.5854989
295,1.2417287
296,0.41715676
297,0.31013152
298,0.45979762
299,0.38290647
300,0.1672164
301,0.7201636
302,0.8692627
303,0.51490456
304,0.11287647
305,0.07033985
306,0.24945262
307,0.19521032
308,0.1635919
309,0.90602934
310,0.7137182
311,0.5041073
312,0.4951926
313,0.27840853
314,0.04927547
315,0.77023095
316,0.3007732
317,1.9844272
318,0.077134274
319,0.18681288
320,0.5207277
321,0.056413468
322,0.69865924
323,0.15590464
324,0.5673011
325,0.50185513
326,0.16108161
327,0.159704
328,0.21065845
329,0.20303349
330,0.19824076
331,0.14923649
332,0.08586391
333,0.23641683
334,0.49855372
335,0.24367109
336,0.32133847
337,0.46583402
338,0.19259413
339,0.67539924
340,0.10159098
341,0.08539843
342,0.450587
343,0.66293234
344,0.15217917
345,0.06869319
346,3.5558836
347,2.7116482
348,0.07364542
349,0.43435052
350,0.24213313
351,0.7130151
352,0.08316412
353,0.11143354
354,0.4347684
355,0.5393719
356,0.47476658
357,1.1610496
358,0.29845372
359,0.48248947
360,0.62976897
361,4.2738175
362,0.7162537
363,0.99486256
364,0.72153425
365,0.47311717
366,0.45979762
367,0.05414746
368,0.13014622
369,0.48951945
370,0.1871272
371,1.3076092
372,0.7863225
373,0.5113104
374,1.6124367
375,1.8056867
376,0.6789415
377,0.22699317
378,0.41503206
379,0.2354823
380,2.3705626
381,0.44246748
382,0.40820107
383,0.32491717
384,1.3650739
385,0.2441164
386,0.4665575
387,1.0123867
388,0.14636718
389,0.052004714
390,0.0652169
391,0.2508219
392,0.11894774
393,0.48252502
394,0.18053006
395,0.026821455
396,1.8455181
